,Control mean,Treatment mean,Control lower CI,Treatment lower CI,Control higher CI,Treatment higher CI,Higher pCR probability,Trail success rate
All,0.18807150536924977,0.37836031532561515,0.14488553158765166,0.2961920537642408,0.23569023262908276,0.4644806699554685,1.0,0.8815940028666942
GLCM_SS+,0.17627157474559926,0.5613635103596857,0.12068027259913047,0.44586014690273135,0.23918105065894457,0.6761867196161141,1.0,0.9987061365856639
GLCM_SS-,0.19681246075171163,0.20678401557968462,0.1378362317814775,0.12381037835926886,0.2604202123017416,0.30334203793915304,0.54975,0.1486684765400976
HR+,0.1380234622633436,0.26264383351557474,0.08808094976398884,0.1669521895801631,0.19391629758110715,0.374906695395885,0.97075,0.660019781685503
HR-,0.2461689500657809,0.48437626554073687,0.177765945002864,0.36932772006312026,0.31958684045060065,0.5962095508672409,0.999,0.91272358518175
HR+GLCM_SS+,0.13408933634591091,0.4123047036367841,0.08260178128885014,0.27376252543739305,0.19593662250296737,0.5582721751206603,0.9995,0.9653295465091
HR-GLCM_SS+,0.24601155007993583,0.7119555061450616,0.16047046581635957,0.5701682801416037,0.34135499480085735,0.836288153509975,1.0,0.9991425588559761
HR+GLCM_SS-,0.137171905934265,0.10564691061047722,0.07940519099010034,0.044303383109407006,0.21043981257153777,0.1917007805854154,0.26525,0.05754507169102527
HR-GLCM_SS-,0.2485926339437879,0.2904153179747928,0.16825407384265298,0.17376060302137963,0.3371106087489153,0.4211784268775823,0.68225,0.27574265622463906
HER2+,0.24368757493838275,0.5264603342416783,0.13797131795985768,0.3907972165833076,0.36670117585079626,0.6610051316299087,0.997,0.9320948915775429
HER2-,0.17666436132258237,0.2979374854796515,0.13265146358109714,0.20844342575710637,0.2248402887653518,0.3951856558138065,0.981,0.6255768787489003
HER2+GLCM_SS+,0.2346188551661399,0.710728922607579,0.11965719366746926,0.558006002516148,0.37494623229553986,0.8382128455292468,1.0,0.9975146134750642
HER2-GLCM_SS+,0.167556665921548,0.4691086653560717,0.1120827509767351,0.3321295696424903,0.23074034432927307,0.5995405176844423,1.0,0.9782066408894666
HER2+GLCM_SS-,0.25529838913622327,0.3275481065303922,0.13740221896259058,0.18754100595029805,0.40213402175228985,0.48582153595002736,0.7375,0.41173279268849483
HER2-GLCM_SS-,0.18424745484957633,0.14718599810837707,0.12530979101633793,0.07486959964558933,0.24879395245259586,0.24017148076208167,0.251,0.051761629894906236
MP+,0.23757617314210547,0.4383160517660653,0.16891868045990396,0.3238273070649865,0.30980993636530474,0.5548586399837091,0.995,0.8411894756878336
MP-,0.14520504451195457,0.3171183710671126,0.09706413379928928,0.21396679958039996,0.19936941083479667,0.4283313443389463,0.99475,0.8197400787694358
MP+GLCM_SS+,0.23246881003330833,0.6679862416892831,0.1496058033333766,0.5170443567557313,0.32409705340258577,0.798050410672395,1.0,0.9974459569531248
MP-GLCM_SS+,0.1374660531145098,0.4659842691241243,0.08387889533367311,0.3265075463723995,0.20166990966571835,0.6086996500578788,0.99975,0.9882123537136571
MP+GLCM_SS-,0.2520939400050721,0.2622802935838039,0.16872997809840254,0.1560018229997595,0.343309152564658,0.3813491303636047,0.545,0.1793641173269682
MP-GLCM_SS-,0.15116336706679134,0.13550069410329893,0.09271863258236959,0.0613444254855003,0.22211150897415305,0.23440957442952404,0.3795,0.09975110244178213
HR+HER2-,0.12709529928203678,0.19174363539949335,0.0816802166609892,0.10280477884500801,0.1821331414208987,0.29770549253735257,0.84,0.39190580704525974
HR-HER2+,0.32664738445565134,0.6392180897259176,0.1846123044899185,0.48352376060079033,0.48859899868835366,0.7790507789586586,0.995,0.9321463083389345
HR-HER2-,0.23277821069988122,0.39342882781647903,0.16576969391838467,0.27085185255512717,0.30793389744648975,0.5246190778258777,0.974,0.7123843802644702
HR+HER2+,0.1909523320017329,0.3944222065592931,0.09695186251873335,0.238406827906519,0.3115650511922781,0.5619919846414698,0.9685,0.8072400559916255
HR+HER2-GLCM_SS+,0.12328010598276314,0.321347605035215,0.07241526149248409,0.18541105602927413,0.18456227521726856,0.47690347493674373,0.99075,0.8579202378298553
HR-HER2+GLCM_SS+,0.3334119217787458,0.8286363509288646,0.17482183599122142,0.6907606545907148,0.5193820940069671,0.926122638264925,1.0,0.9980454678416375
HR-HER2-GLCM_SS+,0.23466367139616512,0.6296945922496675,0.1512794498041701,0.4698762730755879,0.3332338499334287,0.7777516691085874,0.9995,0.9889563827829533
HR+HER2+GLCM_SS+,0.1888958923754762,0.577556110595381,0.08712925902551052,0.38331783092288646,0.3172947572666548,0.7554679692287483,0.99825,0.9791032272851363
HR+HER2-GLCM_SS-,0.12511003600495316,0.07115618898920716,0.07077007636938833,0.026589963648915426,0.19382858381845924,0.13735589452274857,0.115,0.019954578340238747
HR-HER2+GLCM_SS-,0.3349342895343093,0.4410313703989806,0.1810752396207055,0.26939123170104184,0.5067922653301595,0.6237796987478832,0.7745,0.4949350129113938
HR-HER2-GLCM_SS-,0.23611511133200208,0.2132205491460471,0.15786050791018763,0.1101109970752815,0.32638302389680957,0.3385320487318703,0.38275,0.10847847335357133
HR+HER2+GLCM_SS-,0.19057582817406077,0.18357719656592938,0.08994329701070976,0.07600290488887589,0.31824915153269767,0.32824478327480394,0.46225,0.18310314859237564
